iter	RMSE
0	0.0577913569
1	0.05640820663
2	0.05505827369
3	0.05374075397
4	0.05245484708
5	0.05119982162
6	0.04997490869
7	0.04877939179
8	0.04761255527
9	0.046473704
10	0.04536216605
11	0.04427727896
12	0.04321840245
13	0.04218490717
14	0.04117618147
15	0.04019162702
16	0.03923065383
17	0.0382927165
18	0.03737724777
19	0.0364837062
20	0.03561156571
21	0.03476030863
22	0.03392943793
23	0.03311845758
24	0.03232689298
25	0.0315542763
26	0.03080015259
27	0.03006407641
28	0.02934561567
29	0.02864434841
30	0.02795984903
31	0.02729173893
32	0.02663961257
33	0.02600308515
34	0.02538178497
35	0.02477534573
36	0.02418341
37	0.02360563185
38	0.02304167015
39	0.02249119536
40	0.02195388304
41	0.02142941884
42	0.0209174942
43	0.02041780818
44	0.0199300685
45	0.01945398891
46	0.01898928982
47	0.0185356986
48	0.01809294961
49	0.01766078317
50	0.01723894047
51	0.01682718515
52	0.01642527068
53	0.01603296142
54	0.01565002738
55	0.01527624417
56	0.01491139288
57	0.01455525967
58	0.01420763612
59	0.0138683188
60	0.01353710891
61	0.01321381242
62	0.01289824002
63	0.0125902072
64	0.01228953362
65	0.01199604326
66	0.01170956426
67	0.01142992908
68	0.01115697409
69	0.01089053957
70	0.0106304696
71	0.01037661204
72	0.01012881834
73	0.00988694367
74	0.009650846467
75	0.009420388639
76	0.009195435351
77	0.008975855182
78	0.008761519643
79	0.008552303382
80	0.008348084101
81	0.008148742335
82	0.007954161578
83	0.007764228073
84	0.007578830782
85	0.00739786124
86	0.00722121369
87	0.007048784891
88	0.006880474073
89	0.006716182789
90	0.006555815043
91	0.006399277107
92	0.006246477481
93	0.006097326859
94	0.005951738053
95	0.005809626013
96	0.005670907658
97	0.005535501888
98	0.005403329675
99	0.005274313723
100	0.005148378623
101	0.005025450782
102	0.004905458408
103	0.004788331397
104	0.00467400124
105	0.004562401176
106	0.004453465934
107	0.004347132018
108	0.004243337273
109	0.00414202096
110	0.004043123904
111	0.003946588385
112	0.003852357998
113	0.003760377629
114	0.003670593588
115	0.003582953445
116	0.003497405959
117	0.003413901143
118	0.00333239028
119	0.003252825699
120	0.003175160955
121	0.003099350626
122	0.003025350477
123	0.002953117255
124	0.00288260881
125	0.002813783838
126	0.002746602296
127	0.002681024849
128	0.002617013192
129	0.002554529998
130	0.00249353869
131	0.00243400355
132	0.002375890059
133	0.002319164172
134	0.002263792716
135	0.002209743296
136	0.002156984458
137	0.002105485285
138	0.002055215774
139	0.002006146454
140	0.001958248867
141	0.001911494857
142	0.001865857244
143	0.001821309304
144	0.001777824988
145	0.001735378865
146	0.001693946331
147	0.001653503063
148	0.001614025379
149	0.001575490363
150	0.001537875378
151	0.001501158387
152	0.001465318215
153	0.001430333821
154	0.001396184782
155	0.00136285104
156	0.001330313144
157	0.001298552224
158	0.001267549694
159	0.001237287352
160	0.001207747635
161	0.001178913147
162	0.001150767175
163	0.001123293181
164	0.00109647526
165	0.001070297579
166	0.001044745061
167	0.00101980262
168	0.0009954556839
169	0.000971690153
170	0.0009484920812
171	0.0009258477955
